title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page,kept,filter_reason
Škoda Kodiaq KODIAQ SELEC TD 110/2.0 A7F,2025,35678,39690,Diesel,7-st. automatická,110,SUV,2026-08-10T11:43:10.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-kodiaq-selec-td-11020-a7f/AmYQA3vYZ6k/,4,True,
"Škoda Kodiaq Platinum 2.0 TDI 142,00 kW 7-stup. automat. 4x4",2026,5912,51299,Diesel,7-st. automatická,142,SUV,2026-07-16T14:39:38.810Z,https://www.autobazar.eu/detail/skoda-kodiaq-platinum-20-tdi-14200-kw-7-stup-automat-4x4/AejfQS6pB7H/,4,True,
Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,2022,144809,24490,Diesel,7-st. automatická,110,SUV,2026-08-10T06:10:25.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/AmW-qgoqZoc/,4,True,
Škoda Kodiaq 1.5 TSI ACT Style DSG,2023,65402,26400,Benzín,7-st. automatická,110,SUV,2026-08-08T05:44:32.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-style-dsg/AmvrQGO-0JR/,4,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 2.0 TDI SCR EVO Sportline DSG,2022,181443,27400,Diesel,7-st. automatická,110,SUV,2026-08-08T05:44:43.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-sportline-dsg/Am0Zpig72QL/,4,True,
"Škoda Kodiaq 2.0 TDI 4x4 DSG Ambition, Slovenské vozidlo",2022,230230,19999,Diesel,7-st. automatická,110,SUV,2026-08-07T11:01:07.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-4x4-dsg-ambition-slovenske-vozidlo/AmM31DWBiX-/,4,True,
Škoda Kodiaq 2.0 TDI SCR Ambition DSG,2021,101980,23999,Diesel,7-st. automatická,110,SUV,2026-08-07T08:10:16.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-ambition-dsg/Am9Ned_LLSf/,4,True,
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG,2022,143600,33990,Diesel,7-st. automatická,147,SUV,2026-08-10T18:31:17.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg/AmTh_nZrSoP/,4,True,
"Škoda Kodiaq RS 2,0 TSI 195 kW 4x4",2025,4200,52275,Benzín,Automatická,195,SUV,2026-08-07T11:40:21.000Z,https://www.autobazar.eu/detail/skoda-kodiaq-rs-20-tsi/AmQMvSVYmZh/,5,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 7 miestne,2019,176267,22400,Benzín,7-st. automatická,110,Combi,2026-07-13T12:39:25.458Z,https://www.autobazar.eu/detail/skoda-kodiaq-2019/AeoyW3RO26U/,5,False,"fuel_mismatch(got=Benzín, want=Diesel)"
